Code,City,State,Code Type
UIN,Quincy,IL,Airport
UNK,Unalakleet,AK,Airport
UNV,State College,PA,Airport
UOX,Oxford,MS,Airport
UUU,Newport,RI,Airport
VAK,Chevak,AK,Airport
VCT,Victoria,TX,Airport
VDZ,Valdez,AK,Airport
VGT,Las Vegas,NV,Airport
VIS,Visalia,CA,Airport
VLD,Valdosta,GA,Airport
VPS,Valparaiso,FL,Airport
VPZ,Valparaiso,IN,Airport
VQQ,Jacksonville,FL,Airport
VQS,Isla De Vieques,PR,Airport
VRB,Vero Beach,FL,Airport
WBB,Stebbins,AK,Airport
WDG,Enid,OK,Airport
WLK,Selawik,AK,Airport
WNA,Napakiak,AK,Airport
WRG,Wrangell,AK,Airport
WRL,Worland,WY,Airport
WST,Westerly,RI,Airport
WTK,Noatak,AK,Airport
WWD,Wildwood,NJ,Airport
WYS,West Yellowstone,MT,Airport
X44,Miami,FL,Airport
X95,Fajardo,PR,Airport
XNA,Fayetteville / Springdale,AR,Airport
YKM,Yakima,WA,Airport
YKN,Yankton,SD,Airport
YNG,Youngstown,OH,Airport
YUM,Yuma,AZ,Airport
Z08,Ofu Village,AS,Airport
Z09,Kasigluk,AK,Airport
